id,imdb_id,title,release_date,vote_average,vote_count
27205,tt1375666,Inception,2010-07-14,8.1,14075.0
155,tt0468569,The Dark Knight,2008-07-16,8.3,12269.0
19995,tt0499549,Avatar,2009-12-10,7.2,12114.0
24428,tt0848228,The Avengers,2012-04-25,7.4,12000.0
293660,tt1431045,Deadpool,2016-02-09,7.4,11444.0
157336,tt0816692,Interstellar,2014-11-05,8.1,11187.0
68718,tt1853728,Django Unchained,2012-12-25,7.8,10297.0
118340,tt2015381,Guardians of the Galaxy,2014-07-30,7.9,10014.0
550,tt0137523,Fight Club,1999-10-15,8.3,9678.0
70160,tt1392170,The Hunger Games,2012-03-12,6.9,9634.0
76341,tt1392190,Mad Max: Fury Road,2015-05-13,7.3,9629.0
49026,tt1345836,The Dark Knight Rises,2012-07-16,7.6,9263.0
603,tt0133093,The Matrix,1999-03-30,7.9,9079.0
68721,tt1300854,Iron Man 3,2013-04-18,6.8,8951.0
1726,tt0371746,Iron Man,2008-04-30,7.4,8951.0
120,tt0120737,The Lord of the Rings: The Fellowship of the Ring,2001-12-18,8.0,8892.0
135397,tt0369610,Jurassic World,2015-06-09,6.5,8842.0
680,tt0110912,Pulp Fiction,1994-09-10,8.3,8670.0
49051,tt0903624,The Hobbit: An Unexpected Journey,2012-11-26,7.0,8427.0
278,tt0111161,The Shawshank Redemption,1994-09-23,8.5,8358.0
122,tt0167260,The Lord of the Rings: The Return of the King,2003-12-01,8.1,8226.0
13,tt0109830,Forrest Gump,1994-07-06,8.2,8147.0
140607,tt2488496,Star Wars: The Force Awakens,2015-12-15,7.5,7993.0
597,tt0120338,Titanic,1997-11-18,7.5,7770.0
37724,tt1074638,Skyfall,2012-10-25,6.9,7718.0
297761,tt1386697,Suicide Squad,2016-08-02,5.9,7717.0
121,tt0167261,The Lord of the Rings: The Two Towers,2002-12-18,8.0,7641.0
272,tt0372784,Batman Begins,2005-06-10,7.5,7511.0
271110,tt3498820,Captain America: Civil War,2016-04-27,7.1,7462.0
286217,tt3659388,The Martian,2015-09-30,7.6,7442.0
22,tt0325980,Pirates of the Caribbean: The Curse of the Black Pearl,2003-07-09,7.5,7191.0
209112,tt2975590,Batman v Superman: Dawn of Justice,2016-03-23,5.7,7189.0
671,tt0241527,Harry Potter and the Philosopher's Stone,2001-11-16,7.5,7188.0
1771,tt0458339,Captain America: The First Avenger,2011-07-22,6.6,7174.0
14160,tt1049413,Up,2009-05-13,7.8,7048.0
10138,tt1228705,Iron Man 2,2010-04-28,6.6,6969.0
99861,tt2395427,Avengers: Age of Ultron,2015-04-22,7.3,6908.0
11,tt0076759,Star Wars,1977-05-25,8.1,6778.0
106646,tt0993846,The Wolf of Wall Street,2013-12-25,7.9,6768.0
150540,tt2096673,Inside Out,2015-06-09,7.9,6737.0
1930,tt0948470,The Amazing Spider-Man,2012-06-27,6.5,6734.0
10195,tt0800369,Thor,2011-04-21,6.6,6678.0
101299,tt1951264,The Hunger Games: Catching Fire,2013-11-15,7.4,6656.0
16869,tt0361748,Inglourious Basterds,2009-08-18,7.9,6598.0
20352,tt1323594,Despicable Me,2010-07-08,7.1,6595.0
11324,tt1130884,Shutter Island,2010-02-18,7.8,6559.0
281957,tt1663202,The Revenant,2015-12-25,7.3,6558.0
49521,tt0770828,Man of Steel,2013-06-12,6.5,6462.0
10681,tt0910970,WALL·E,2008-06-22,7.8,6439.0
18785,tt1119646,The Hangover,2009-06-05,7.2,6324.0
263115,tt3315342,Logan,2017-02-28,7.6,6310.0
12,tt0266543,Finding Nemo,2003-05-30,7.6,6292.0
177572,tt2245084,Big Hero 6,2014-10-24,7.8,6289.0
105,tt0088763,Back to the Future,1985-07-03,8.0,6239.0
127585,tt1877832,X-Men: Days of Future Past,2014-05-15,7.5,6155.0
585,tt0198781,"Monsters, Inc.",2001-11-01,7.5,6150.0
12445,tt1201607,Harry Potter and the Deathly Hallows: Part 2,2011-07-07,7.9,6141.0
207703,tt2802144,Kingsman: The Secret Service,2015-01-29,7.6,6069.0
240832,tt2872732,Lucy,2014-07-14,6.3,6048.0
673,tt0304141,Harry Potter and the Prisoner of Azkaban,2004-05-31,7.7,6037.0
102899,tt0478970,Ant-Man,2015-07-14,7.0,6029.0
238,tt0068646,The Godfather,1972-03-14,8.5,6024.0
210577,tt2267998,Gone Girl,2014-10-01,7.9,6023.0
1891,tt0080684,The Empire Strikes Back,1980-05-17,8.2,5998.0
672,tt0295297,Harry Potter and the Chamber of Secrets,2002-11-13,7.4,5966.0
807,tt0114369,Se7en,1995-09-22,8.1,5915.0
87827,tt0454876,Life of Pi,2012-11-20,7.2,5912.0
205596,tt2084970,The Imitation Game,2014-11-14,8.0,5895.0
10528,tt0988045,Sherlock Holmes,2009-12-23,7.0,5883.0
100402,tt1843866,Captain America: The Winter Soldier,2014-03-20,7.6,5881.0
284052,tt1211837,Doctor Strange,2016-10-25,7.1,5880.0
49047,tt1454468,Gravity,2013-09-27,7.3,5879.0
131631,tt1951265,The Hunger Games: Mockingjay - Part 1,2014-11-18,6.6,5767.0
674,tt0330373,Harry Potter and the Goblet of Fire,2005-11-05,7.5,5758.0
329865,tt2543164,Arrival,2016-11-10,7.2,5729.0
12444,tt0926084,Harry Potter and the Deathly Hallows: Part 1,2010-10-17,7.5,5708.0
72190,tt0816711,World War Z,2013-06-20,6.7,5683.0
75656,tt1670345,Now You See Me,2013-05-29,7.3,5635.0
